fips,pm25,poverty,pop_density,med_house_value,pct_blk,med_household_income,pct_owner_occ,pct_hispanic,education,population,pct_asian,pct_native,pct_white,confirmed_covid_cases,covid_deaths,covid_recoveries,days_since_state_of_emergency,days_since_closing_K-12,days_since_closing_day_cares,days_since_banning_visitors_to_nursing_homes,days_since_shelter_in_place,days_since_closing_non-essential_businesses,religious_gatherings_exempt,liquor_stores_open,firearms_sellers_open,days_since_closing_restaurants_except_takeout,days_since_closing_gyms,days_since_closing_movie_theaters,froze_evictions,order_freezing_utility_shutoffs
45029,7.933868782051,0.211535323870126,35.5595866155221,85100.0,0.383597742759796,36276.0,0.757345658633212,0.0315960391822828,0.203782668500688,37568.0,0.00125106473594549,0.00769271720613288,0.5747977001703579,32,4,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45031,8.46532705671658,0.223286774001919,119.958267688517,87800.0,0.40701530043269396,36254.0,0.6969765342960289,0.0198950232703374,0.24681341920599803,67253.0,0.0046094598010497706,0.0038065216421572295,0.5660416635689111,149,2,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45033,7.85314339714874,0.337965244242962,76.21245393309749,72800.0,0.48083962294710203,29362.0,0.6478847556528079,0.027242395775971002,0.318958751199093,30871.0,0.00262382170969518,0.0215412523079913,0.467720514398627,74,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45035,7.9788898260099,0.12244444734745098,273.435913373799,186300.0,0.253753039093353,61698.0,0.713725274523823,0.0518221696232167,0.196318440348112,155474.0,0.0190063933519431,0.00406498835818208,0.6780490628658169,101,3,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45037,8.35270062285797,0.15534541850766,53.4566958279219,126500.0,0.36501176734282204,49200.0,0.729890764647468,0.0582390078075386,0.23453112109267604,26769.0,0.0037730210317905,0.00239082520826329,0.59949942097202,32,2,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45039,7.96339102849453,0.229373746378427,33.0944521755383,102700.0,0.5633145473758371,36294.0,0.7369417529791741,0.020737935892919997,0.240399385560676,22712.0,0.00325818950334625,0.0025537160972173303,0.396706586826347,71,2,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45041,7.8691348921048,0.190685653774095,173.090819216452,130400.0,0.42506910313869,45479.0,0.654454285220265,0.0254184077770801,0.234143748160665,138561.0,0.0129978854078709,0.0027569085096094898,0.539192124768153,353,17,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45043,7.61957801368513,0.1831429696731,75.69248704252699,187200.0,0.31268565863160497,48071.0,0.7709370395444229,0.0305981657333009,0.199606488917443,61605.0,0.0052106160214268294,0.00121743364986608,0.6456618780943111,46,3,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45045,8.97876201256819,0.12365135841062899,634.856567021135,172100.0,0.18101853523862302,56789.0,0.665031109045391,0.089546189622032,0.20577599380377198,498402.0,0.0238883471575154,0.00394460696385649,0.743674784611619,796,42,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45047,8.565693877928119,0.225362703467799,154.519770636356,117300.0,0.32044859387453006,40982.0,0.6419303855625389,0.0599026528521006,0.23920916481892102,70264.0,0.008368439029944209,0.00035580097916429503,0.638278492542411,57,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
